start_date,city,#trips
2020-02-01,Chicago,3204
2020-02-01,NYC,35542
2020-02-01,San Francisco,12263
2020-02-02,Chicago,5417
2020-02-02,NYC,28593
2020-02-02,San Francisco,10003
2020-02-03,Chicago,7278
2020-02-03,NYC,53522
2020-02-03,San Francisco,14830
2020-02-04,Chicago,6162
2020-02-04,NYC,52478
2020-02-04,San Francisco,15383
2020-02-05,Chicago,5371
2020-02-05,NYC,50544
2020-02-05,San Francisco,16154
2020-02-06,Chicago,3247
2020-02-06,NYC,32156
2020-02-06,San Francisco,16753
2020-02-07,Chicago,5247
2020-02-07,NYC,32643
2020-02-07,San Francisco,16512
2020-02-08,Chicago,3239
2020-02-08,NYC,32783
2020-02-08,San Francisco,13007
2020-02-09,Chicago,1817
2020-02-09,NYC,32635
2020-02-09,San Francisco,9937
2020-02-10,Chicago,6328
2020-02-10,NYC,26732
2020-02-10,San Francisco,16168
2020-02-11,Chicago,6472
2020-02-11,NYC,37789
2020-02-11,San Francisco,17425
2020-02-12,Chicago,4913
2020-02-12,NYC,49336
2020-02-12,San Francisco,17381
2020-02-13,Chicago,3035
2020-02-13,NYC,37413
2020-02-13,San Francisco,16453
2020-02-14,Chicago,2993
2020-02-14,NYC,36921
2020-02-14,San Francisco,15535
2020-02-15,Chicago,1842
2020-02-15,NYC,21598
2020-02-15,San Francisco,11693
2020-02-16,Chicago,2930
2020-02-16,NYC,27276
2020-02-16,San Francisco,11197
2020-02-17,Chicago,3605
2020-02-17,NYC,40946
2020-02-17,San Francisco,12200
2020-02-18,Chicago,6618
2020-02-18,NYC,44104
2020-02-18,San Francisco,15972
2020-02-19,Chicago,5730
2020-02-19,NYC,49313
2020-02-19,San Francisco,16615
2020-02-20,Chicago,4903
2020-02-20,NYC,42686
2020-02-20,San Francisco,17062
2020-02-21,Chicago,5509
2020-02-21,NYC,38686
2020-02-21,San Francisco,16897
2020-02-22,Chicago,5455
2020-02-22,NYC,39443
2020-02-22,San Francisco,11212
2020-02-23,Chicago,7765
2020-02-23,NYC,46544
2020-02-23,San Francisco,11068
2020-02-24,Chicago,6723
2020-02-24,NYC,56349
2020-02-24,San Francisco,15586
2020-02-25,Chicago,4986
2020-02-25,NYC,39568
2020-02-25,San Francisco,16774
2020-02-26,Chicago,4107
2020-02-26,NYC,45207
2020-02-26,San Francisco,16708
2020-02-27,Chicago,5704
2020-02-27,NYC,43411
2020-02-27,San Francisco,17337
2020-02-28,Chicago,5348
2020-02-28,NYC,43360
2020-02-28,San Francisco,16341
2020-02-29,Chicago,3637
2020-02-29,NYC,29252
2020-02-29,San Francisco,10323
2020-03-01,Chicago,7413
2020-03-01,NYC,31878
2020-03-01,San Francisco,17188
2020-03-02,Chicago,8335
2020-03-02,NYC,56946
2020-03-02,San Francisco,13948
2020-03-03,Chicago,8218
2020-03-03,NYC,49723
2020-03-03,San Francisco,13936
2020-03-04,Chicago,8396
2020-03-04,NYC,58670
2020-03-04,San Francisco,13755
2020-03-05,Chicago,8269
2020-03-05,NYC,58686
2020-03-05,San Francisco,12590
2020-03-06,Chicago,6138
2020-03-06,NYC,34135
2020-03-06,San Francisco,10739
2020-03-07,Chicago,6703
2020-03-07,NYC,39448
2020-03-07,San Francisco,5842
2020-03-08,Chicago,11170
2020-03-08,NYC,46994
2020-03-08,San Francisco,6208
2020-03-09,Chicago,4505
2020-03-09,NYC,68768
2020-03-09,San Francisco,10274
2020-03-10,Chicago,7827
2020-03-10,NYC,64277
2020-03-10,San Francisco,10224
2020-03-11,Chicago,7631
2020-03-11,NYC,61816
2020-03-11,San Francisco,9682
2020-03-12,Chicago,8349
2020-03-12,NYC,51332
2020-03-12,San Francisco,8035
2020-03-13,Chicago,7077
2020-03-13,NYC,43343
2020-03-13,San Francisco,6644
2020-03-14,Chicago,2979
2020-03-14,NYC,44239
2020-03-14,San Francisco,2302
2020-03-15,Chicago,3318
2020-03-15,NYC,36140
2020-03-15,San Francisco,3008
2020-03-16,Chicago,3626
2020-03-16,NYC,29481
2020-03-16,San Francisco,3902
2020-03-17,Chicago,4398
2020-03-17,NYC,24331
2020-03-17,San Francisco,2269
2020-03-18,Chicago,2110
2020-03-18,NYC,30496
2020-03-18,San Francisco,2029
2020-03-19,Chicago,2002
2020-03-19,NYC,20842
2020-03-19,San Francisco,2521
2020-03-20,Chicago,2331
2020-03-20,NYC,31327
2020-03-20,San Francisco,2700
2020-03-21,Chicago,2126
2020-03-21,NYC,31712
2020-03-21,San Francisco,3214
2020-03-22,Chicago,1321
2020-03-22,NYC,19891
2020-03-22,San Francisco,2830
2020-03-23,Chicago,1966
2020-03-23,NYC,3999
2020-03-23,San Francisco,1914
2020-03-24,Chicago,2431
2020-03-24,NYC,20863
